url,dominio,label,pais
dominandoagestao.com.br/domiando/softalitons/btgrrfe5/mujyw4r45trt6ru75d/tn768f43hrtj74ffdsf/uiouytc434nerve/ntyj76f5g4gy6f434r/myuj7684f3tgyfe4/k9p98g54sf444444fg/mj87f43r33wdt5yysef4/myp98g5g4f34r5t/cfrrefvbxs4wfegg5/8p98g5g4tefd5/xz-po/app,dominandoagestao.com.br,1,Brasil
gtara-bisa--loppers.repl.co,gtara-bisa--loppers.repl.co,1,Colombia
jfsincorp.com.br/images/contato/Billing/update/Amazon.com/Amazon_Billing_Verification.html,jfsincorp.com.br,1,Brasil
biualedtyn.0dbdtrl4azw6l4l.jjsiles.cl,biualedtyn.0dbdtrl4azw6l4l.jjsiles.cl,1,Chile
direccionfiscal.com.mx/wp-includes/pomo/oreo/verify.php,direccionfiscal.com.mx,1,México
elevadoresrocha.com.br/wp-content/uploads/servico/digital/index.php,elevadoresrocha.com.br,1,Brasil
auievhw6k5cs6yv8a.barclayis.co/index/index/auth,auievhw6k5cs6yv8a.barclayis.co,1,Colombia
alsegundo.com.ar/dau/Exitkorea/upload/en.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4,alsegundo.com.ar,1,Argentina
hombank-galiciaa.support0022.repl.co,hombank-galiciaa.support0022.repl.co,1,Colombia
promericainfor.repl.co,promericainfor.repl.co,1,Colombia
legisla.com.ec/wp-content/plugins/lkwgdbtqmk/onlinebankingmtb,legisla.com.ec,1,Ecuador
total.psi.br/QB/QuickB/godaddy.php?user=3D,total.psi.br,1,Brasil
873wntrz788fhd367mhnn.mattsenior1.repl.co,873wntrz788fhd367mhnn.mattsenior1.repl.co,1,Colombia
account-webapp-gov.com,account-webapp-gov.com,1,Colombia
catf.com.br/accessu/mtbank/mtbank,catf.com.br,1,Brasil
anima.art.br/ana/wallet/crypto/wallets.php,anima.art.br,1,Brasil
znftirwnfny2c9hz8fnv.barclayis.co/index/index/auth,znftirwnfny2c9hz8fnv.barclayis.co,1,Colombia
galihomban9438503.galihomban.repl.co,galihomban9438503.galihomban.repl.co,1,Colombia
merchan-arq.com.pe/puf/login.html,merchan-arq.com.pe,1,Perú
aulavirtual.caech.cl/.well-known,aulavirtual.caech.cl,1,Chile
airbnblistings.co,airbnblistings.co,1,Colombia
wndoaylvjcvginisi54mraavgpeoafbcxvhot.dratassianaalves.com.br,wndoaylvjcvginisi54mraavgpeoafbcxvhot.dratassianaalves.com.br,1,Brasil
boldlygo.co,boldlygo.co,1,Colombia
dresscoddd.blogspot.com.ar,dresscoddd.blogspot.com.ar,1,Argentina
rgznwhcjin2on6hj6jrz6pgu.we9ixzz.co/index/usps/index.html,rgznwhcjin2on6hj6jrz6pgu.we9ixzz.co,1,Colombia
65j2gxch6cf85aqf9ur4mld9c5yijq.we9ixzz.co/index/usps/index.html,65j2gxch6cf85aqf9ur4mld9c5yijq.we9ixzz.co,1,Colombia
security-page-community-standards.blogspot.com.ar,security-page-community-standards.blogspot.com.ar,1,Argentina
winter-night-9293.on.fleek.co/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp,winter-night-9293.on.fleek.co,1,Colombia
delivery.attempt.aceleracaoimobiliaria2022.com.br/dhl/dhl/info.php,delivery.attempt.aceleracaoimobiliaria2022.com.br,1,Brasil
oseupedido.com.br/sharepointonline,oseupedido.com.br,1,Brasil
xtrafree.x10.mx/,xtrafree.x10.mx,1,México
lipidofobia.com.br,lipidofobia.com.br,1,Brasil
officialwedsite1.blogspot.cl,officialwedsite1.blogspot.cl,1,Chile
kilews.com.br/C/Chase,kilews.com.br,1,Brasil
amagiadoamor.com.br/tk/login.html,amagiadoamor.com.br,1,Brasil
httppgroupesfacebook.blogspot.com.ar,httppgroupesfacebook.blogspot.com.ar,1,Argentina
191.232.172.50/Itau,191.232.172.50,1,Brasil
landing.conta-inde.mx/xlx/neteasyes/neteasyest/900,landing.conta-inde.mx,1,México
lingering-firefly-7323.on.fleek.co,lingering-firefly-7323.on.fleek.co,1,Colombia
fbcom-30353136.chekkos.mx/nextVRF.html?location=b3055cd4eb9dd87b037870e8fe27e786,fbcom-30353136.chekkos.mx,1,México
lefruits.com.br/utrgv/MicrosoftOfficePage,lefruits.com.br,1,Brasil
a801fec7-1506-45f0-84c4-433776c6fce3.id.repl.co,a801fec7-1506-45f0-84c4-433776c6fce3.id.repl.co,1,Colombia
fbnotification-19014198785.becoffee.co/profile.html?countUser=ebf8745244f94004f0990e075a16aa40,fbnotification-19014198785.becoffee.co,1,Colombia
calcariobrissolo.com.br/wlp/well-fargo-id-cc-emdouble/wauth-login-present-origin-cob,calcariobrissolo.com.br,1,Brasil
2220.pages.net.br,2220.pages.net.br,1,Brasil
clavedinamicabloqueada.autenticacion0.repl.co,clavedinamicabloqueada.autenticacion0.repl.co,1,Colombia
swcerealista.com.br/wp-content/plugins/web.de/index.html,swcerealista.com.br,1,Brasil
candybananas.com.co/drivve/latest-onedrive,candybananas.com.co,1,Colombia
linknoperfil.com.inhousemkt.com.br/recovveri-infoo0.com,linknoperfil.com.inhousemkt.com.br,1,Brasil
freeuse2022.blogspot.com.br,freeuse2022.blogspot.com.br,1,Brasil
noticias.canal22.org.mx/wp-content/uploads/2019/3C4GL9HMM1ZT2tabhomevasSto/ZyqSbn79UjQlnCF9jgWlYmzkkKLKIutqLf0HoRw803VrgSrbgIssw6syEwzRA/85200a8f134802dd452522a59edc9676,noticias.canal22.org.mx,1,México
galias.com.co/opiks/optimum,galias.com.co,1,Colombia
tanbxn-mis.pages.net.br/3,tanbxn-mis.pages.net.br,1,Brasil
checkpoi1404.pages.net.br/tu,checkpoi1404.pages.net.br,1,Brasil
tw-fb.pages.dev.br,tw-fb.pages.dev.br,1,Brasil
vendasbradescosaude.com.br/plano/bradesco-saude-alagoas,vendasbradescosaude.com.br,1,Brasil
codibox.cl/inmetro.gov.br/webmail.inmetro.gov.br.html,codibox.cl,1,Chile
435645567567567.456546546456sf.repl.co/01loading.php,435645567567567.456546546456sf.repl.co,1,Colombia
hb-red-link-yww.support2110.repl.co,hb-red-link-yww.support2110.repl.co,1,Colombia
pegepagvariedades.com.br,pegepagvariedades.com.br,1,Brasil
fugas.cl/td/secquestions.php?product=7,fugas.cl,1,Chile
c717.com.mx/myusaacard,c717.com.mx,1,México
rafaeli.com.py/wp-includes/services/confirm.html,rafaeli.com.py,1,Paraguay
thevoucher.com.br/GWQXB/index.html,thevoucher.com.br,1,Brasil
clinicapelvis.com.br/AU/DC/CD/4,clinicapelvis.com.br,1,Brasil
izbhab3avamia.barclayis.co/index/index/auth,izbhab3avamia.barclayis.co,1,Colombia
rotuma.com.br/SWISS/F004f19441/22788001c.html,rotuma.com.br,1,Brasil
kpaengineers.soimper.com.br,kpaengineers.soimper.com.br,1,Brasil
precisaoautomacaobalancas.com.br/@unil/unil.html,precisaoautomacaobalancas.com.br,1,Brasil
accountscenter.meta.com-helpcenter.co,accountscenter.meta.com-helpcenter.co,1,Colombia
metamasksigins.blogspot.pe,metamasksigins.blogspot.pe,1,Perú
orellanaturismo.gob.ec/language/es-ES/message-centre/cmd-login=ad90600b0d2ee206a14226ace2fb0cce/?email=redacted@redacted.invalid&loginpage=&reff=YTUzNmVkNjA2ZDYxNTc0YjdmZGUyMzBjYWMzY2VlYTk=,orellanaturismo.gob.ec,1,Ecuador
b01.11030.repl.co,b01.11030.repl.co,1,Colombia
radioconser.com.ar/BlockChian/2fa.php,radioconser.com.ar,1,Argentina
agilindustriadigital.com.br/clakd/index.html,agilindustriadigital.com.br,1,Brasil
a.3d-game.co/wp-content/plugins/lin/index.html,a.3d-game.co,1,Colombia
paypalloginin-usa.blogspot.cl,paypalloginin-usa.blogspot.cl,1,Chile
fbusaassistant.pagedemo.co,fbusaassistant.pagedemo.co,1,Colombia
globalreibank.alabuena.repl.co,globalreibank.alabuena.repl.co,1,Colombia
bankgalicia.teacher832.repl.co,bankgalicia.teacher832.repl.co,1,Colombia
letraselivros.com.br/.Open_Case/access/Account/customer_center/customer-IDPP00C579/myaccount/signin,letraselivros.com.br,1,Brasil
timeline-2226345059.casasaofrancisco.org.br/connect.html?timelimit=040e9ab2e42b5f7769a04ac08503997c,timeline-2226345059.casasaofrancisco.org.br,1,Brasil
imperturbableausterehertz.asfgsht.repl.co,imperturbableausterehertz.asfgsht.repl.co,1,Colombia
rapidsecondfiber.bankhome.repl.co,rapidsecondfiber.bankhome.repl.co,1,Colombia
sfr.fr-facture-paysfr.uroconsult.com.br/sfr,sfr.fr-facture-paysfr.uroconsult.com.br,1,Brasil
wetransferconnectonline.nahaemd45.repl.co/index.html,wetransferconnectonline.nahaemd45.repl.co,1,Colombia
ondnfrrp2jbqnfvmktxtxf.we9ixzz.co/index/usps/index.html,ondnfrrp2jbqnfvmktxtxf.we9ixzz.co,1,Colombia
facebookco-905136392.ho27.co/profile.html?countUser=ed979e5479d7276ac065942a1cdad5c1,facebookco-905136392.ho27.co,1,Colombia
795681e3-ccec-4828-9b84-62205f2a31d3.id.repl.co,795681e3-ccec-4828-9b84-62205f2a31d3.id.repl.co,1,Colombia
facebook9985.blogspot.com.br,facebook9985.blogspot.com.br,1,Brasil
bluehand.com.mx/console/css/a/newPost/newPost/ePost/ePost/ePost/ePost,bluehand.com.mx,1,México
bancolombia--com-verification.repl.co,bancolombia--com-verification.repl.co,1,Colombia
withered-poetry-7542.on.fleek.co,withered-poetry-7542.on.fleek.co,1,Colombia
darktoolsloginmlcrosoftonlineservices.ribeiroautocapas.com.br/cgi-bin/cache/css/?email=,darktoolsloginmlcrosoftonlineservices.ribeiroautocapas.com.br,1,Brasil
bwrajuqaa.we9ixzz.co/index/usps/index.html,bwrajuqaa.we9ixzz.co,1,Colombia
business-account-help.pages.net.br,business-account-help.pages.net.br,1,Brasil
berrypack.com.mx/Onedrive/onedrive-4D1-onedrive,berrypack.com.mx,1,México
nameless-sky-4368.on.fleek.co/tishereinnereagletsdocuorjectevrdanmnywelbeckheomantracywrokfromhomedoucemu.html,nameless-sky-4368.on.fleek.co,1,Colombia
matingenieria.cl/edd03,matingenieria.cl,1,Chile
840202278312407.litoralsulpremium.com.br/?485266366386093=bS5zaWR5aXlvQGludGVycm9sbC5jb20=,840202278312407.litoralsulpremium.com.br,1,Brasil
anj.org.br/D2017HL/index.php?email=&email&,anj.org.br,1,Brasil
asupportfeedbackll.co/striprefund,asupportfeedbackll.co,1,Colombia
apply.jadolopt.repl.co,apply.jadolopt.repl.co,1,Colombia
off.fbook.com-39725369.directoriosweb.mx/gate.html?location=78161220aa68d7df4e661d6d5aa3cc62,off.fbook.com-39725369.directoriosweb.mx,1,México
amazon.admin-update-jp.co,amazon.admin-update-jp.co,1,Colombia
bftjn.blogspot.pe,bftjn.blogspot.pe,1,Perú
hb-redlink-seguridadnacion.redlinkonline.repl.co,hb-redlink-seguridadnacion.redlinkonline.repl.co,1,Colombia
indexs.sniper15hex.repl.co/PUBG/5605430873/s,indexs.sniper15hex.repl.co,1,Colombia
scostatransportes.com.br/wp-includes/fonts/dash.php,scostatransportes.com.br,1,Brasil
darwin.imd.bo/Service-N1/html.php,darwin.imd.bo,1,Bolivia
bbbbbvvaaa21.bbva213.repl.co/Index%20BBVA%20_%20Net.html,bbbbbvvaaa21.bbva213.repl.co,1,Colombia
sharepointsecuredecryption.on.fleek.co,sharepointsecuredecryption.on.fleek.co,1,Colombia
usaa.online.com.activity.s-rg.co,usaa.online.com.activity.s-rg.co,1,Colombia
feqouihf719.ooefj139.repl.co,feqouihf719.ooefj139.repl.co,1,Colombia
postfb-2ymcmkq0.shain.co/profile.html?countUser=f1f68769bd9c14a76b88c71a5d8bd749,postfb-2ymcmkq0.shain.co,1,Colombia
tight-tooth-9545.on.fleek.co/?naps,tight-tooth-9545.on.fleek.co,1,Colombia
r4pceg5c0syrbmknxq.we9ixzz.co/index/usps/index.html,r4pceg5c0syrbmknxq.we9ixzz.co,1,Colombia
grupomundo.com.py/badgemagic/backtoschool/modified/index.php,grupomundo.com.py,1,Paraguay
0913.comvocenaweb.com.br/gate.html?location=0eb804dfb13799992f73ab9e49c15480,0913.comvocenaweb.com.br,1,Brasil
bancolombia.com-08622.repl.co,bancolombia.com-08622.repl.co,1,Colombia
wvxcta3hprlgckore8pncx.we9ixzz.co/index/usps/index.html,wvxcta3hprlgckore8pncx.we9ixzz.co,1,Colombia
xro6ew6sgmputozdu9.we9ixzz.co/index/usps/index.html,xro6ew6sgmputozdu9.we9ixzz.co,1,Colombia
billowing-bush-9975.on.fleek.co,billowing-bush-9975.on.fleek.co,1,Colombia
hb-redlink-nacionenlinea.fatloock16.repl.co,hb-redlink-nacionenlinea.fatloock16.repl.co,1,Colombia
diopwbkd1tsd7hlzz86uyaarep5ww.barclayis.co,diopwbkd1tsd7hlzz86uyaarep5ww.barclayis.co,1,Colombia
webexecutives.co,webexecutives.co,1,Colombia
corecon-ro.org.br/wp-content/upgrade/Swisspost/Seleccione_medio_de_pago.php,corecon-ro.org.br,1,Brasil
wnmadeiras.com.br/QW12/134v45t54/oluaecsv@oocllogistics.com,wnmadeiras.com.br,1,Brasil
pichinch-manejad.cf/pichin/PICHINCHA,pichinch-manejad.cf,1,Ecuador
06ddba5c-dfda-4a9e-b19d-d1dbc3d11671.id.repl.co,06ddba5c-dfda-4a9e-b19d-d1dbc3d11671.id.repl.co,1,Colombia
supersegbrasil.com.br/portaria/assets/SEcure01bCh,supersegbrasil.com.br,1,Brasil
succesvalidecol.repl.co,succesvalidecol.repl.co,1,Colombia
5ffgfg3f2222dfd3.blogspot.mx,5ffgfg3f2222dfd3.blogspot.mx,1,México
bancolombia.urlw.io,bancolombia.urlw.io,1,Colombia
3dilution.cl/8ex/logon.php,3dilution.cl,1,Chile
rtttravel.co/2021/banks/directing/tangerine/index.php,rtttravel.co,1,Colombia
gexproservices.advamandamascarenhas.com.br/i/e.html?u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==T6eXqfsojmmUNH5YooCmESHN8CgTOP7tXobVWmYnZfgIyyHWznlzgwi5NhD58Pqn?dgtw5&u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==27AY6N48vmeqi1fNI0RnVqOqJHDckhDqW5lmPlWt0cyJ2PSz9wY40DJRbyCPdfFT?dgtw5&u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==7m8ODpLIgzhI3PPSdjxAt9N2mhEWRxXE1zUs7nXpo6Au1b33zPU2ia98SDeoyg4S?dgtw5&u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==twbfHnwuuWm8WJk5nZCWiw5C2NNROVDg3lzjZRu2pWSL2DEb6olSTKvNUts9ijun?dgtw5&u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==VASmdo2j0pvCkAb9esK5xS9CnWpc4znvn8Y2C9ApqmjkSpAPIkVNSaZOAPPkPE6t?dgtw5&u=meca.ro/a/gshak/dnZvQGdleHByb3NlcnZpY2VzLmNvbQ==,gexproservices.advamandamascarenhas.com.br,1,Brasil
gabrielnevesfotografias.com.br/.tmb,gabrielnevesfotografias.com.br,1,Brasil
araguaiahost.com.br/ph/step1.php?id=75073261,araguaiahost.com.br,1,Brasil
axxum.marcasocial.cl/?axxum=redacted@redacted.invalid,axxum.marcasocial.cl,1,Chile
host48-15.viabrs.com.br/wp-content/plugins/hell/hakam%20new/piled.php,host48-15.viabrs.com.br,1,Brasil
dncdlnc.bancocomunicate.repl.co,dncdlnc.bancocomunicate.repl.co,1,Colombia
login-account.paypal.engelca.com.br/594f6,login-account.paypal.engelca.com.br,1,Brasil
spotlessconventionalinterchangeability.menoresactivos.repl.co,spotlessconventionalinterchangeability.menoresactivos.repl.co,1,Colombia
mrgreen.com.br/opt/index.htm,mrgreen.com.br,1,Brasil
dapar.com.py/mhn/dsf/tkun.htm,dapar.com.py,1,Paraguay
galiciahomeonlins.kabipe5266.repl.co,galiciahomeonlins.kabipe5266.repl.co,1,Colombia
account.com.mx,account.com.mx,1,México
dussmann.co/,dussmann.co,1,Colombia
gyt.ital1colmasco.repl.co,gyt.ital1colmasco.repl.co,1,Colombia
larevista.cl/Chase-3/Chase/abef5ac419701f086caef4876452610b,larevista.cl,1,Chile
carla-burlingtonchamber.marciojs.com.br/index.php?0cab7ba84b0fd21f064bf3d9afde29ad&auth=819845092884f8468196bfd5acbaf8846b941fc79f7939bb79a81f912878e56775597096,carla-burlingtonchamber.marciojs.com.br,1,Brasil
idimaro.cl/admin/index.php,idimaro.cl,1,Chile
atullmusic.openinapp.co/instagram,atullmusic.openinapp.co,1,Colombia
honcothai.co/Sharefile,honcothai.co,1,Colombia
callservices.do/secure.bankofamerica.comloginsign-insignOnV2Screen.go/challengevdl.php,callservices.do,1,Rep. Dominicana
supervielle.gastonchaparro.repl.co,supervielle.gastonchaparro.repl.co,1,Colombia
loading.cbplastico.com.br/,loading.cbplastico.com.br,1,Brasil
airspeednet.com.br/highslide/graphics/outlines/jquery.ui.button.html,airspeednet.com.br,1,Brasil
makethebreak.co/ger/index.php,makethebreak.co,1,Colombia
bancolombla.com-1b.repl.co,bancolombla.com-1b.repl.co,1,Colombia
fadata.fisiomip.com.br/,fadata.fisiomip.com.br,1,Brasil
spring-frost-4992.on.fleek.co,spring-frost-4992.on.fleek.co,1,Colombia
meucarrousado.com.br/steinbeck/index.html,meucarrousado.com.br,1,Brasil
mhuddleston.ultramedicinadiagnostica.com.br/?=redacted@redacted.invalid,mhuddleston.ultramedicinadiagnostica.com.br,1,Brasil
broad-sound-4407.on.fleek.co,broad-sound-4407.on.fleek.co,1,Colombia
cosmonerd.com.br/val/roundcube/b9dd4c364b939e238771d030f7c204ee/roundcube.php,cosmonerd.com.br,1,Brasil
fb.com-16209650.jaynerenault.co/nextVRF.html?location=c5201b2359d8ee4fc9efd65be41bc6af,fb.com-16209650.jaynerenault.co,1,Colombia
patient-cloud-9191.on.fleek.co,patient-cloud-9191.on.fleek.co,1,Colombia
beautifulblink.co,beautifulblink.co,1,Colombia
idyw0vph.robertaocana.com.br/?swahjsdhjsduewuyhjskldi-3rq~hi28a35lx-6jobp6s~ab6i6g4grhqaazovbhl3a73n4-ctavr3tom4mnqmdp3ojdtd578gqamieb-1z3v3ppppyl15cud2726ghlkbas2jpbvot5xr8lckpmvjrqyqgpes1o1-yfeh5fdjrc72g7zrx5ft~92bjypic-4kkg5ul2a1q5h4flfoqhd-lmbzo33c-v2~96yhus-4tm2m-yqo7ajt~p87a437il-ux4b43mm2e8pmtlbec685k5y2mrrchquoma8c4yss5xxsnabbk25vib6h64hp6oialo15hsahjshjduywqyhwhjf8-m45ehhxu8za9vdcc2jjyi6jjdmm44h-i~6cdglmktnezmfu1xhakf1i5~r1rqotuc3xe~bnpkn1l86v58f2k5s9ytn-dxgt4b7jdt~lnbjuxszu6urf~4x7ty4685=value&url=ssomacesac.com/.wwww/bjfkfskl/cmRldHdpbGVyQGxobXdkLm9yZw==,idyw0vph.robertaocana.com.br,1,Brasil
paulhastings.ho27.co/profile.html?countUser=7e9eb8aed6870bb0e7a5b85178e04a71,paulhastings.ho27.co,1,Colombia
terrazadelcatador.com.mx/suchen/mobile/a2,terrazadelcatador.com.mx,1,México
practifunda.com.ar/dir/post/PK/Login.php,practifunda.com.ar,1,Argentina
d9aac7f9-6f60-453b-bdf5-cd1c1cba9252.id.repl.co,d9aac7f9-6f60-453b-bdf5-cd1c1cba9252.id.repl.co,1,Colombia
myriamlynchart.cl,myriamlynchart.cl,1,Chile
carfax-car-details323.000.pe/?i=1,carfax-car-details323.000.pe,1,Perú
bscgroup.co,bscgroup.co,1,Colombia
in.fbcom-424628908.cleanshoes.com.do/gate.html?location=1c25e86df63054b48e4e7e327903abc7,in.fbcom-424628908.cleanshoes.com.do,1,Rep. Dominicana
mariotimm.com.br/udex/rydox/nsjsuiqfiodewotbqrfeuswllfqwuiyjrdqnohnbobnskllpcmeavdkfedxnemnmkrcxryqpribozojjsxckvpycevozxtpnrngt/amVzc0BlZGdld29ydGhjbHViLmNvbQ==,mariotimm.com.br,1,Brasil
1bcfohjou.barclayis.co/index/index/auth,1bcfohjou.barclayis.co,1,Colombia
check-point.pages.net.br/hjy,check-point.pages.net.br,1,Brasil
pralungo.cl,pralungo.cl,1,Chile
llumarperu.pe/wp-content/lmpsa37/crypt/connect.php?email=aaron@hillsboroughtitle.com,llumarperu.pe,1,Perú
3682245602.mexigas.com.mx/aoe39,3682245602.mexigas.com.mx,1,México
pen0bveohkumqpkprdescnnjjlac.we9ixzz.co/index/usps/index.html,pen0bveohkumqpkprdescnnjjlac.we9ixzz.co,1,Colombia
Artisticradio.rmi.cr/aa/YXJ0aHVyQGFydGlzdGljcmFkaW8uY29t,Artisticradio.rmi.cr,1,Costa Rica
ezemoney.co,ezemoney.co,1,Colombia
jujur.ya.sebenarnya.aku.sayang.kamu.megafitness.com.br,jujur.ya.sebenarnya.aku.sayang.kamu.megafitness.com.br,1,Brasil
clevermarketing.co/,clevermarketing.co,1,Colombia
casoalerta00b--login0091.repl.co,casoalerta00b--login0091.repl.co,1,Colombia
content-brob26nks.contextura.co/profile.html?countUser=fffc5197fe02c7b7bfccdc69fd6a712a,content-brob26nks.contextura.co,1,Colombia
avellaneda478.edu.ar/usa,avellaneda478.edu.ar,1,Argentina
googlelogin.darkmattermatt.repl.co,googlelogin.darkmattermatt.repl.co,1,Colombia
enjoytrade.frantic.com.br,enjoytrade.frantic.com.br,1,Brasil
cesigloxxi.edu.mx/7666/Luno_Feb,cesigloxxi.edu.mx,1,México
bancolombia-app.com-apply9.repl.co,bancolombia-app.com-apply9.repl.co,1,Colombia
grumart.pe/wp-cs/office,grumart.pe,1,Perú
introlevel.com.ar/ne/core,introlevel.com.ar,1,Argentina
empathyhub.co,empathyhub.co,1,Colombia
therapeuticafarmacia.com.br/portal.php,therapeuticafarmacia.com.br,1,Brasil
rmv-55621832.detalhesmusical.com.br/gate.html?location=342bdb3ac06a64058c51145449d7ebcb,rmv-55621832.detalhesmusical.com.br,1,Brasil
inlnebanklng.galecia.repl.co,inlnebanklng.galecia.repl.co,1,Colombia
andresantosplay.com.br/wp-content/plugins/secure/updatebofa/login.php?cmd=login_submit&id=6228488fc9db6c7965b7cb9dcacfdd766228488fc9db6c7965b7cb9dcacfdd76&session=6228488fc9db6c7965b7cb9dcacfdd766228488fc9db6c7965b7cb9dcacfdd76,andresantosplay.com.br,1,Brasil
pitifulwellwornsystemintegrator.bmclmbia.repl.co,pitifulwellwornsystemintegrator.bmclmbia.repl.co,1,Colombia
grupocolombia--revertirprocess.repl.co/USER,grupocolombia--revertirprocess.repl.co,1,Colombia
hubiino222.blogspot.com.co,hubiino222.blogspot.com.co,1,Colombia
api.vfibra.com.br/2yzGI/usa/eika/bbhysj78/yyzUO54/AUIZ/4548SNK/YZIOS454/index2.html,api.vfibra.com.br,1,Brasil
interserv.co/g7e2bac29q192a4bff2ab3cddc2kf4016b65.html,interserv.co,1,Colombia
shareyourlist.co/wp-content/themes/twentynineteen/inc/v2.office/index.html,shareyourlist.co,1,Colombia
bancaporinternet-interbank1.expeditor.cl/Login,bancaporinternet-interbank1.expeditor.cl,1,Chile
instahelpcenter.co,instahelpcenter.co,1,Colombia
apf-apj-acesso.pagedemo.co,apf-apj-acesso.pagedemo.co,1,Colombia
content-cz5idhd6.contextura.co/profile.html?countUser=9fd8f59fef09d4ef59197f4d469f154e,content-cz5idhd6.contextura.co,1,Colombia
ecmjjfh45cbdsazcmzjtdtr.we9ixzz.co/index/usps/index.html,ecmjjfh45cbdsazcmzjtdtr.we9ixzz.co,1,Colombia
support-cloud.co/4Wp,support-cloud.co,1,Colombia
mail-santafarma-online-id-network-common2-calhtmqzm.a-c-c.co/owa/?uid-ref=zwtpcmvzzxbpqhnhbnrhzmfybweuy29tlnry,mail-santafarma-online-id-network-common2-calhtmqzm.a-c-c.co,1,Colombia
construtorasr.com.br/mxnz/uvnxsjeuodcaqtqjxukm-ztnraub6fghdvh4aqtqjxuk-zt8mgk-vkbftyrhjlsugipph-hxnfdbxgjzhrmyf-ztnraub6fghdvh43vp-egipphskbftyrhjlsu/,construtorasr.com.br,1,Brasil
calm-grass-8630.on.fleek.co/app.js,calm-grass-8630.on.fleek.co,1,Colombia
globalban.globalbnk.repl.co,globalban.globalbnk.repl.co,1,Colombia
red-waterfall-3708.on.fleek.co,red-waterfall-3708.on.fleek.co,1,Colombia
conexta.cl/.well-known/pki-validation/-/telekom,conexta.cl,1,Chile
emporio89.com.br/ad/raiffeisen.hu/index.htm,emporio89.com.br,1,Brasil
